,f18_KOI_int,dr25_kepid,prot,Prot_adopted,prot_numflag,a18_period,m13_Prot,m15_Prot,w13_Per
564,718,9884104,17.73,a18,3.0,17.73,17.1,17.36,17.43
567,719,9950612,30.79,a18,3.0,30.79,30.79,30.76,15.3
571,720,9963524,9.63,a18,3.0,9.63,9.4,9.43,9.35
577,723,10002866,11.05,a18,3.0,11.05,10.98,11.07,11.9
584,732,10265898,33.35,a18,2.0,33.35,,35.77,
587,733,10271806,22.05,a18,2.0,22.05,21.88,21.88,20.81
598,752,10797460,24.88,m15,2.0,,24.92,24.88,
603,757,10910878,17.62,a18,3.0,17.62,15.94,16.21,17.43
613,806,3832474,16.2,a18,3.0,16.2,16.0,15.92,16.29
629,837,5531576,32.21,m15,3.0,,32.4,32.21,36.49
631,841,5792202,15.09,a18,3.0,15.09,14.74,14.89,14.99
636,853,6428700,15.81,a18,3.0,15.81,15.77,15.81,15.95
638,857,6587280,26.27,a18,3.0,26.27,26.23,26.31,
643,869,6948054,19.56,a18,3.0,19.56,19.44,19.6,9.77
647,870,6949607,18.03,m15,3.0,,17.95,18.03,18.28
649,872,7109675,27.83,m15,3.0,,27.86,27.83,16.29
651,874,7134976,23.19,a18,3.0,23.19,23.18,22.95,24.16
659,884,7434875,34.16,m15,2.0,,33.84,34.16,29.94
662,889,757450,19.49,a18,3.0,19.49,19.38,19.4,18.28
663,892,7678434,23.59,m13,3.0,,23.59,,20.53
665,896,7825899,25.33,a18,3.0,25.33,25.07,24.93,12.29
668,906,8226994,36.96,m15,2.0,,,36.96,
676,918,8672910,17.87,a18,3.0,17.87,17.46,17.47,17.43
680,934,9334289,25.05,a18,2.0,25.05,24.52,24.37,31.85
687,939,9466668,14.92,a18,2.0,14.92,,62.75,
691,941,9480189,21.78,a18,3.0,21.78,21.68,21.31,10.56
696,958,1026957,21.01,d20,3.0,,,,10.13
697,974,9414417,10.83,m15,3.0,24.37,10.85,10.83,
698,975,3632418,12.58,a18,3.0,12.58,12.59,12.53,
700,986,2854698,18.89,a18,3.0,18.89,19.2,19.2,19.21
702,987,7295235,20.36,a18,3.0,20.36,20.89,20.51,19.72
703,988,2302548,12.55,a18,3.0,12.55,12.37,12.32,12.29
705,991,10154388,20.56,a18,2.0,20.56,,20.2,
709,999,2165002,22.46,m15,3.0,,22.74,22.46,22.7
711,1001,1871056,11.71,a18,2.0,11.71,,34.14,
719,1050,5809890,30.69,a18,3.0,30.69,29.81,29.97,27.73
734,1102,3231341,7.75,a18,2.0,7.75,10.08,10.08,
749,1128,6362874,27.84,a18,2.0,27.84,,75.26,33.26
750,1145,8313667,13.1,a18,3.0,13.1,13.0,12.92,12.09
764,1165,10337517,23.79,a18,2.0,23.79,,33.0,
768,1175,10350571,16.13,a18,2.0,16.13,,41.62,41.54
777,1199,3859079,32.68,a18,2.0,32.68,34.26,34.22,
784,1216,3839488,21.29,a18,2.0,21.29,,21.74,
786,1220,4043190,22.46,a18,2.0,22.46,,32.86,
798,1270,8564587,32.91,m15,2.0,,33.31,32.91,32.54
815,1300,10975146,39.15,m15,3.0,,38.28,39.15,29.35
821,1305,10730034,27.04,m15,3.0,,26.95,27.04,
827,1307,10973814,28.13,m15,2.0,,,28.13,
832,1315,10928043,11.49,a18,2.0,11.49,,11.17,
838,1335,4155328,4.37,m15,2.0,8.76,,4.37,
847,1353,7303287,8.85,a18,3.0,8.85,8.65,8.73,8.96
852,1360,7102227,31.78,a18,2.0,31.78,,32.56,
862,1366,6932987,20.88,a18,2.0,20.88,31.27,31.19,32.54
864,1367,6934291,29.89,a18,2.0,29.89,29.83,16.83,30.55
869,1396,9455556,24.86,a18,3.0,24.86,24.37,24.38,34.01
877,1426,11122894,23.75,a18,2.0,23.75,,33.22,
881,1431,11075279,29.78,a18,2.0,29.78,,29.38,
886,1436,11389771,23.8,a18,2.0,23.8,22.69,22.66,20.81
889,1438,11193263,12.03,a18,2.0,12.03,,10.99,
891,1442,11600889,26.34,a18,2.0,26.34,,43.9,
893,1445,11336883,5.48,a18,2.0,5.48,5.27,5.3,5.13
898,1474,12365184,8.73,a18,2.0,8.73,4.49,4.53,
899,1477,7811397,22.56,a18,3.0,22.56,21.96,21.99,24.55
900,1478,12403119,33.09,a18,2.0,33.09,,66.84,
901,1480,7512982,27.16,a18,2.0,27.16,26.76,26.85,28.25
906,1528,7691260,32.7,a18,2.0,32.7,,36.06,31.18
910,1531,11764462,23.41,a18,3.0,23.41,22.99,22.88,25.38
911,1532,11656246,10.33,m15,2.0,,,10.33,
916,1536,12159249,18.84,a18,2.0,18.84,,18.74,
917,1537,9872292,12.6,a18,3.0,12.6,12.78,12.63,12.71
918,1557,5371776,14.45,a18,3.0,14.45,14.18,14.16,
922,1563,5219234,34.5,a18,2.0,34.5,,14.3,
926,1567,5438099,16.01,a18,2.0,16.01,,14.61,
931,1576,5299459,25.76,m15,3.0,,25.89,25.76,13.39
937,1598,10004738,24.74,m15,2.0,,,24.74,
942,1606,9886661,32.22,a18,2.0,32.22,,32.71,
947,1612,10963065,12.89,a18,3.0,12.89,12.44,12.41,
