,f18_KOI_int,dr25_kepid,prot,Prot_adopted,prot_numflag,a18_period,m13_Prot,m15_Prot,w13_Per
1684,3936,4947556,7.23,a18,3.0,7.23,,7.15,
1687,3946,8636434,10.06,a18,2.0,10.06,,20.05,
1689,3991,10352333,5.27,m15,3.0,,,5.27,
1690,4002,5773121,18.74,a18,3.0,18.74,,18.38,
1691,4004,4814502,6.21,a18,3.0,6.21,,6.24,
1693,4011,11969988,25.08,a18,2.0,25.08,,19.54,
1694,4014,9009953,16.79,a18,2.0,16.79,,16.46,
1696,4022,7733731,13.88,a18,2.0,13.88,,13.95,
1697,4024,10714072,11.26,a18,3.0,11.26,,11.14,
1702,4036,11415243,26.39,a18,3.0,26.39,,26.21,
1703,4037,8264402,7.93,a18,3.0,7.93,,7.55,
1704,4053,1718958,9.27,a18,3.0,9.27,,9.23,
1705,4054,6428794,23.78,m15,3.0,,,23.78,
1706,4060,9086154,32.51,a18,3.0,32.51,,32.5,
1708,4066,8686373,5.3,a18,2.0,5.3,,,
1712,4103,3747817,16.94,a18,3.0,16.94,,16.75,
1717,4129,11970988,33.63,a18,3.0,33.63,,32.75,
1721,4146,10000941,12.16,a18,3.0,12.16,,13.14,
1723,4157,4548098,6.02,a18,2.0,6.02,,5.91,
1724,4159,6607644,31.92,a18,2.0,31.92,,75.58,
1725,4160,7610663,10.43,a18,3.0,10.43,,10.41,
1726,4188,6879171,10.46,a18,3.0,10.46,,10.23,
1728,4199,5340878,35.1,a18,2.0,35.1,,36.84,
1730,4212,1724719,9.2,a18,2.0,9.2,,72.51,
1733,4222,9183378,15.89,a18,3.0,15.89,,15.49,
1734,4226,9491832,14.6,a18,2.0,14.6,,24.37,
1736,4235,10794974,5.4,a18,3.0,5.4,,5.24,
1738,4246,5177859,7.28,a18,3.0,7.28,,7.17,
1740,4251,8741470,17.98,a18,3.0,17.98,,17.72,
1744,4276,6026924,16.34,a18,3.0,16.34,,16.09,
1748,4296,7661893,24.79,a18,2.0,24.79,,85.39,
1749,4298,2852941,35.55,d20,2.0,,,,
1754,4318,9286088,2.34,m15,2.0,24.45,,2.34,
1757,4329,12456063,7.49,a18,3.0,7.49,,7.05,
1758,4335,10730070,32.26,m15,2.0,38.1,,32.26,
1759,4356,8459663,12.18,m15,3.0,,,12.18,
1760,4366,10647452,38.99,a18,2.0,38.99,,38.17,
1761,4367,4773392,9.65,a18,2.0,9.65,,27.32,
1767,4383,9883606,14.21,a18,3.0,14.21,,14.22,
1771,4399,8345384,17.73,a18,3.0,17.73,,17.56,
1772,4400,2831055,21.99,a18,3.0,21.99,,21.92,
1773,4407,8396660,19.41,a18,3.0,19.41,,20.08,
1774,4409,5308537,23.92,a18,2.0,23.92,,19.08,
1775,4411,5281113,11.85,a18,3.0,11.85,,11.66,
1780,4431,9936080,9.9,a18,2.0,9.9,,52.81,
1782,4435,8278685,10.37,a18,2.0,10.37,,31.27,
1785,4443,5780855,7.43,m15,2.0,20.6,,7.43,
1788,4457,12109267,13.01,a18,2.0,13.01,,75.19,
1790,4473,7133294,16.37,a18,3.0,16.37,,16.81,
1791,4480,10467714,20.31,d20,2.0,5.53,,10.41,
1792,4482,7778427,6.7,a18,2.0,6.7,,70.96,
1793,4505,8493354,10.01,m15,2.0,21.41,,10.01,
1798,4567,8332521,5.79,a18,2.0,5.79,,5.37,
1800,4575,9893468,12.01,a18,2.0,12.01,,72.98,
1803,4582,7905106,14.44,a18,2.0,14.44,,31.85,
1804,4585,9009036,9.69,a18,2.0,9.69,,9.37,
1805,4588,8806985,13.67,a18,3.0,13.67,,13.43,
1806,4601,11153476,8.82,d20,2.0,,,17.02,
1809,4613,10220837,26.47,a18,3.0,26.47,,24.84,
1812,4633,5954001,14.86,a18,2.0,14.86,,15.2,
1813,4637,9457728,20.51,a18,3.0,20.51,,20.07,
1814,4640,9412623,11.42,a18,2.0,11.42,,,
1815,4647,9947653,43.64,a18,2.0,43.64,,53.14,
1817,4651,6717252,16.76,a18,3.0,16.76,,16.46,
1821,4653,11181260,8.43,a18,2.0,8.43,,45.14,
1822,4657,6527078,17.05,d20,2.0,29.63,,77.22,
1824,4659,2857607,24.22,a18,2.0,24.22,,23.94,
1828,4686,5819801,34.38,a18,2.0,34.38,,36.03,
1830,4699,7891294,10.56,a18,2.0,10.56,,10.4,
1831,4715,6264750,12.84,a18,2.0,12.84,,58.28,
1832,4716,11290515,14.87,m15,2.0,,,14.87,
1834,4725,7778621,26.86,a18,2.0,26.86,,42.21,
1838,4765,10615440,8.75,a18,2.0,8.75,,8.51,
1840,4773,7906892,18.77,a18,2.0,18.77,,19.2,
1841,4774,4277304,31.32,a18,2.0,31.32,,30.73,
1843,4792,11618569,16.41,a18,2.0,16.41,,16.13,
1844,4811,8811490,17.94,a18,3.0,17.94,,16.59,
1852,4850,6786224,17.33,a18,2.0,17.33,,24.96,
1909,5929,11716643,37.72,m15,2.0,,,37.72,
