,KOI_x,KIC,Kepler,Prot_flag,Prot_adopted,Prot_ANG18,Prot_MAZ15,Prot_D20,Prot_MCQ13,Prot_WAL13,KOI_y,Teff,E_Teff,e_Teff,[Fe/H],E_[Fe/H],e_[Fe/H],Ksmag,e_Ksmag,plx,e_plx,R,E_R,e_R,Miso,E_Miso,e_Miso,Riso,E_Riso,e_Riso,rhoiso,E_rhoiso,e_rhoiso,logAiso,E_logAiso,e_logAiso,plxspec,E_plxspec,e_plxspec,r8,RCF,KOI_strip
1461,2289,3867615,Kepler-379,m,,17.04,17.14,11.34,,,K02289,6060,60,60,0.09,0.04,0.04,12.005,0.018,1.392,0.013,1.271,0.03,0.029,1.125,0.027,0.031,1.269,0.013,0.016,0.55,0.03,0.03,9.62,0.09,0.09,1.48,0.115,0.186,1.001,1.0316,2289
1462,2290,12121570,,m,,16.02,36.98,18.00,,,K02290,4966,60,60,-0.24,0.04,0.04,12.527,0.025,2.308,0.019,0.677,0.019,0.019,0.721,0.017,0.026,0.682,0.004,0.005,2.27,0.08,0.11,9.66,0.32,0.57,2.252,0.059,0.065,1,1.002,2290
1463,2291,8410415,,m,,,80.60,16.53,,12.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1464,2293,8321314,,b,m15,,25.86,12.69,25.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1465,2294,6934986,,m,,,23.82,10.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1466,2295,4049901,,m,,46.87,51.55,46.72,,,K02295,5430,60,60,-0.12,0.04,0.04,9.681,0.02,3.916,0.02,1.412,0.035,0.034,0.901,0.01,0.011,1.379,0.008,0.007,0.34,0.01,0.01,10.13,0.01,0.01,6.594,0.262,0.365,1.442,1.2025,2295
1467,2296,11498128,Kepler-1177,m,,,79.43,26.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1468,2297,5342473,,m,,,32.24,16.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1469,2298,9334893,,a,m15,,18.40,18.13,18.17,19.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1470,2299,9963265,,a,m15,,17.04,17.34,17.05,17.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1471,2300,10583761,Kepler-1179,a,a18,29.23,28.80,14.66,28.69,13.88,K02300,5133,60,60,-0.12,0.04,0.04,12.189,0.022,2.433,0.015,0.737,0.02,0.019,0.791,0.018,0.027,0.739,0.006,0.005,1.95,0.06,0.1,9.52,0.35,0.45,2.357,0.079,0.088,1,,2300
1472,2302,7542813,Kepler-1180,m,,,29.69,18.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1473,2303,4458082,,b,m13,,,2.37,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1474,2304,8042453,Kepler-1182,m,,,40.10,42.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1475,2305,10874215,,b,m15,,23.86,12.60,23.78,24.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1476,2307,7661065,,a,m15,,19.64,19.79,19.62,19.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1477,2308,3749978,Kepler-1183,m,,,18.56,17.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1478,2309,10010440,Kepler-1184,m,,,17.86,40.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1479,2310,11718144,,m,,,62.69,16.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1480,2311,4247991,,a,m15,,12.73,12.75,12.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
