Kepler,koiname,Ecc,Ecc_low,Ecc_upp,Period,U_Per,Rp,U_Rp,Rovera,Rovera_low,Rovera-upp,RpRs,RpRs_low,RpRs_upp,Mstar,Mstar_low,Mstar_upp,Rstar,Rstar_low,Rstar_upp,Rho,Rho_low,Rho_upp,Temperature,Temperature_low,Temperature_upp,Metl,Metl_low,Metl_upp,Kepmag,relrho,relrho_low,relrho_upp
Kepler-100c,K00041.01,0.0233562388839,0.00597630191138,0.171689882257,12.8159091939,12.8159354061,2.22102648876,2.24257419201,0.0632943210435,0.063095530949,0.0635655609975,0.013445775068,0.0133448453368,0.0135769686911,1.1093,1.0893,1.1293,1.51312,1.50185,1.52242,0.45422891,0.44843898,0.45853576,5902.77,5836.4,5956.04,0.104,-0.003,0.168,11.197,1.0765523897,1.00758343108,1.14744481732
Kepler-100d,K00041.03,0.379123088186,0.218788573247,0.503660508976,35.3331295444,35.3335621375,1.5144997629,1.54846195685,0.0321916291644,0.0320905240906,0.0323295823942,0.00916856383997,0.0089708349591,0.00955317874385,1.1093,1.0893,1.1293,1.51312,1.50185,1.52242,0.45422891,0.44843898,0.45853576,5902.77,5836.4,5956.04,0.104,-0.003,0.168,11.197,0.401741226408,0.286807148511,0.518449211528
Kepler-103b,K00108.01,0.0267336074941,1.07806814654e-08,0.225113413746,15.965316291,15.9653344453,3.47560109474,3.51503184104,0.0527029525682,0.0525308319675,0.0528773514321,0.0219567167026,0.0217482044112,0.0222990765624,1.099,1.069,1.118,1.45,1.441,1.459,0.507,0.502,0.512,5889.04,5818.07,5964.62,0.104,0.005,0.178,12.287,1.10873162519,0.926107525265,1.28705776364
Kepler-103c,K00108.02,0.0229398042943,4.95097335019e-06,0.205295097406,179.613304534,179.618089581,5.31880121967,5.37089907622,0.0104968976373,0.0104626162121,0.0105316328264,0.0336009249607,0.0333463168664,0.0342204111528,1.099,1.069,1.118,1.45,1.441,1.459,0.507,0.502,0.512,5889.04,5818.07,5964.62,0.104,0.005,0.178,12.287,1.11674419198,0.924626544582,1.31272450128
Kepler-107b,K00117.03,0.0195431299369,2.88753523139e-07,0.221499919836,3.18002630947,3.18003828737,1.58060853381,1.63676652997,0.147664726195,0.143732603452,0.152065816371,0.0102613094295,0.0101344678256,0.0104657513881,1.142,1.074,1.21,1.411,1.364,1.458,0.581,0.532,0.63,5851.0,5776.0,5926.0,0.27,0.17,0.37,12.487,1.04580423947,0.894916535106,1.16909984558
Kepler-107c,K00117.02,0.0230495385422,2.37204413471e-06,0.281709499446,4.90144122416,4.90147139542,1.66424372789,1.72930453519,0.110666125962,0.107719228609,0.113964487137,0.0108042690474,0.0105831769847,0.0110173631089,1.142,1.074,1.21,1.411,1.364,1.458,0.581,0.532,0.63,5851.0,5776.0,5926.0,0.27,0.17,0.37,12.487,1.08740555396,0.88939159534,1.25925931703
Kepler-107d,K00117.04,0.1413078158,0.00109733247788,0.389651401587,7.95824874611,7.95835679593,1.06419692255,1.12578225017,0.0801097851214,0.0779765640323,0.0824974263502,0.00690876563205,0.00658182494792,0.00725428335708,1.142,1.074,1.21,1.411,1.364,1.458,0.581,0.532,0.63,5851.0,5776.0,5926.0,0.27,0.17,0.37,12.487,1.39383603429,0.923549099707,1.6987401263
Kepler-107e,K00117.01,0.0200691955918,1.02042479965e-06,0.201877264516,14.749176017,14.7492096056,2.92327637993,3.02328789583,0.053094809567,0.0516809627152,0.0546772798753,0.0189779080909,0.0188297670713,0.0192047990643,1.142,1.074,1.21,1.411,1.364,1.458,0.581,0.532,0.63,5851.0,5776.0,5926.0,0.27,0.17,0.37,12.487,1.03245300975,0.917699326632,1.13214490433
Kepler-108b,K00119.01,0.220334063401,0.0995574028712,0.411711614006,49.1835400547,49.1837198879,9.56258465625,10.0960320901,0.0346489552846,0.0332887489563,0.0362628119876,0.0399613561652,0.0396395993073,0.0403342587012,1.377,1.288,1.466,2.192,2.071,2.313,0.188,0.164,0.212,5854.0,5762.0,5946.0,0.31,0.2,0.42,12.654,1.62647188272,1.32773122236,1.89821348191
Kepler-108c,K00119.02,0.0358498639424,2.82543754249e-05,0.23426099389,190.3214313,inf,8.23214325726,8.70890302477,0.0140576115191,0.0135057549915,0.0147123778863,0.0344015368785,0.0337988135359,0.0347050170786,1.377,1.288,1.466,2.192,2.071,2.313,0.188,0.164,0.212,5854.0,5762.0,5946.0,0.31,0.2,0.42,12.654,1.06490763894,0.85645932778,1.28493868031
Kepler-109b,K00123.01,0.210928220686,4.33391174883e-05,0.297320909972,6.48163704199,6.48164501178,2.33781739677,2.37226039436,0.0895147332417,0.0891567739541,0.0898381650381,0.0159933237184,0.0158818492144,0.0164579648226,1.0694,1.0294,1.1094,1.33899,1.32347,1.35637,0.62779069,0.62103463,0.63538272,5969.16,5905.4,6033.06,-0.055,-0.115,0.05,12.365,0.694361022947,0.512683950359,0.836642426308
Kepler-109c,K00123.02,0.0250364935541,5.8043476749e-08,0.22125975109,21.2226197413,21.2226493949,2.63378121468,2.67709746616,0.0405961640258,0.0404338245603,0.0407428447988,0.0180180520635,0.0178360734637,0.0182392866367,1.0694,1.0294,1.1094,1.33899,1.32347,1.35637,0.62779069,0.62103463,0.63538272,5969.16,5905.4,6033.06,-0.055,-0.115,0.05,12.365,1.02186046671,0.898373814351,1.1246354417
Kepler-126b,K00260.01,0.0683792424513,3.00928185021e-06,0.165915961126,10.495633676,10.4956641674,1.43913477659,1.45912407942,0.0636488130441,0.0633334063104,0.0639705981825,0.00980132204046,0.0097201718766,0.00992105833226,1.148,1.099,1.199,1.345,1.327,1.36,0.66600823,0.65600823,0.67600823,6286.3,6209.79,6350.36,-0.151,-0.237,-0.08,10.5,0.906965661609,0.79629780144,0.989988266979
Kepler-126c,K00260.03,0.191192562763,2.25849526002e-05,0.368548945537,21.8696449305,21.8697454358,1.49798734364,1.55966438186,0.0390152982016,0.0388219609313,0.0392125452912,0.0102021413188,0.00979778863773,0.0105256966514,1.148,1.099,1.199,1.345,1.327,1.36,0.66600823,0.65600823,0.67600823,6286.3,6209.79,6350.36,-0.151,-0.237,-0.08,10.5,1.04285588111,0.536365536491,1.39878425399
Kepler-126d,K00260.02,0.0170953274898,1.81475837721e-07,0.114111462481,100.282076574,100.282485563,2.51338764737,2.54438063236,0.0141355878184,0.0140655400144,0.0142070521846,0.017117591865,0.0170275313451,0.0172319940868,1.148,1.099,1.199,1.345,1.327,1.36,0.66600823,0.65600823,0.67600823,6286.3,6209.79,6350.36,-0.151,-0.237,-0.08,10.5,0.982032934228,0.92546387572,1.01898777678
Kepler-127b,K00271.03,0.4662837697,0.0830944139211,0.511950128432,14.435771991,14.4358758422,1.52444164638,1.64973203081,0.0506895398352,0.0501439385486,0.0512596900542,0.0102753547222,0.00947338049738,0.0105643811222,1.24,1.154,1.326,1.359,1.324,1.394,0.697,0.674,0.72,6106.0,6000.0,6212.0,0.33,0.23,0.43,11.485,0.744578519317,0.200449244771,1.04459355608
Kepler-127c,K00271.02,0.0290292536705,4.55628104735e-07,0.168594062544,29.3934445224,29.3936152815,2.38851863474,2.45549189133,0.0315532939138,0.0312136672805,0.0319082018,0.0160995839302,0.0159210728205,0.016264655562,1.24,1.154,1.326,1.359,1.324,1.394,0.697,0.674,0.72,6106.0,6000.0,6212.0,0.33,0.23,0.43,11.485,0.98779054277,0.871385957447,1.05470966668
Kepler-127d,K00271.01,0.030374743406,8.81555149194e-08,0.31434008317,48.629971475,48.6305443249,2.66848249609,2.75246637937,0.02255670612,0.0223139150447,0.0228104214028,0.0179866538561,0.0176612795925,0.0186267820719,1.24,1.154,1.326,1.359,1.324,1.394,0.697,0.674,0.72,6106.0,6000.0,6212.0,0.33,0.23,0.43,11.485,1.28180791281,0.83214398745,1.78981716858
Kepler-129b,K00275.01,0.0139608754492,9.41413088501e-08,0.248530028373,15.7916190819,15.7916729041,2.40856648742,2.44811924799,0.0591842529729,0.0589577737104,0.0593822958373,0.0133832623341,0.0131857385999,0.0136624634369,1.1592,1.1292,1.1892,1.64855,1.63492,1.66042,0.36592832,0.36227935,0.37016155,5822.05,5755.3,5887.11,0.35,0.25,0.4,11.696,1.05774355158,0.945862211249,1.20081431404
Kepler-129c,K00275.02,0.200886885039,4.01002257657e-05,0.352757879224,82.1907776,inf,2.52155558102,2.58753358876,0.0197064570218,0.0196310466951,0.0197723989405,0.0140110891715,0.0136586344836,0.0144711799581,1.1592,1.1292,1.1892,1.64855,1.63492,1.66042,0.36592832,0.36227935,0.37016155,5822.05,5755.3,5887.11,0.35,0.25,0.4,11.696,0.706410703009,0.519953408642,0.89313756565
Kepler-130b,K00282.02,0.152521094653,4.22651137462e-09,0.288385775726,8.45724778578,8.45735456485,0.975534622148,1.02040767948,0.0658329529515,0.0646241070724,0.0671376449574,0.00792910641662,0.00764782289045,0.00815362330081,0.934,0.875,0.993,1.127,1.094,1.16,0.927,0.874,0.98,5884.0,5809.0,5959.0,-0.22,-0.32,-0.12,11.529,0.800247713695,0.555434289257,1.00211463832
Kepler-130c,K00282.01,0.0834980633011,1.0706739103e-05,0.232301561972,27.5086857766,27.5087232624,2.81094568962,2.8947945459,0.0299881364004,0.0294374845841,0.0305824479127,0.0228472542115,0.0227172042012,0.0232718797044,0.934,0.875,0.993,1.127,1.094,1.16,0.927,0.874,0.98,5884.0,5809.0,5959.0,-0.22,-0.32,-0.12,11.529,0.880700744398,0.733383398605,1.00730788622
Kepler-130d,K00282.03,0.802001944215,0.40277991487,0.887208937872,87.5210884683,87.5234399565,1.30581364782,1.43157799784,0.0138629045322,0.0136083494156,0.014137642637,0.010613601136,0.00963978169042,0.012080389069,0.934,0.875,0.993,1.127,1.094,1.16,0.927,0.874,0.98,5884.0,5809.0,5959.0,-0.22,-0.32,-0.12,11.529,0.231429278711,0.0185243531783,0.637995483788
